n_estimators,max_depth,oob_score,random_state,verbose,class_weight,max_features,n_jobs,data,ckpt
50,32,0.9811525915186662,42,1,balanced,log2,7,scaler-mfcc-labels-180-190,ckpts\rfc_clf_26.sav
50,32,0.8505564387917329,42,1,balanced,log2,7,scaler-mfcc-labels-170-180,ckpts\rfc_clf_25.sav
50,32,0.8411327575818437,42,1,balanced,log2,7,scaler-mfcc-labels-160-170,ckpts\rfc_clf_24.sav
50,32,0.835203780271707,42,1,balanced,log2,7,scaler-mfcc-labels-150-160,ckpts\rfc_clf_23.sav
50,32,0.844100580270793,42,1,balanced,log2,7,scaler-mfcc-labels-140-150,ckpts\rfc_clf_22.sav
50,32,0.8231836734693877,42,1,balanced,log2,7,scaler-mfcc-labels-130-140,ckpts\rfc_clf_21.sav
50,32,0.8047110380717611,42,1,balanced,log2,7,scaler-mfcc-labels-120-130,ckpts\rfc_clf_20.sav
50,32,0.8461538461538461,42,1,balanced,log2,7,scaler-mfcc-labels-110-120,ckpts\rfc_clf_19.sav
50,32,0.7938467207074429,42,1,balanced,log2,7,scaler-mfcc-labels-100-110,ckpts\rfc_clf_18.sav
50,32,0.8550619082301529,42,1,balanced,log2,7,scaler-mfcc-labels-90-100,ckpts\rfc_clf_17.sav
50,32,0.88394612304332,42,1,balanced,log2,7,scaler-mfcc-labels-80-90,ckpts\rfc_clf_16.sav
50,32,0.7897935180345008,42,1,balanced,log2,7,scaler-mfcc-labels-70-80,ckpts\rfc_clf_15.sav
50,32,0.7891337919415976,42,1,balanced,log2,7,scaler-mfcc-labels-60-70,ckpts\rfc_clf_14.sav
50,32,0.8309602044541804,42,1,balanced,log2,7,scaler-mfcc-labels-50-60,ckpts\rfc_clf_13.sav
50,32,0.8338864306784661,42,1,balanced,log2,7,scaler-mfcc-labels-40-50,ckpts\rfc_clf_12.sav
50,32,0.8379264419629137,42,1,balanced,log2,7,scaler-mfcc-labels-30-40,ckpts\rfc_clf_11.sav
50,32,0.9091346153846154,42,1,balanced,log2,7,scaler-mfcc-labels-20-30,ckpts\rfc_clf_10.sav
50,32,0.8210119861636233,42,3,balanced,log2,7,scaler-mfcc-labels-10-20,ckpts\rfc_clf_9.sav
50,32,0.8464332036316472,42,3,balanced,log2,7,scaler-mfcc-labels-0-10,ckpts\rfc_clf_8.sav
